key_name,config,experience_level,min_experience_points,next_experience_points,air_capacity_reward,cash reward,coins_reward
test_1,test,1,0,100,0,0,0
test_2,test,2,100,200,0,1,0
test_3,test,3,200,300,0,4,0
test_4,test,4,300,400,0,1,0
test_5,test,5,400,600,0,2,0
test_6,test,6,600,1000,0,5,0
test_7,test,7,1000,2000,0,3,0
test_8,test,8,2000,4000,0,4,0
test_9,test,9,4000,2000001,0,1,0
normal_1,normal,1,0,100,0,0,0
normal_2,normal,2,100,200,1,1,0
normal_3,normal,3,200,300,1,2,0
normal_4,normal,4,300,400,1,0,0
normal_5,normal,5,400,600,0,0,0
normal_6,normal,6,600,1000,0,1,0
normal_7,normal,7,1000,2000,1,0,0
normal_8,normal,8,2000,4000,0,0,0
normal_9,normal,9,4000,6000,0,1,0
normal_10,normal,10,6000,8000,0,0,0
normal_11,normal,11,8000,10000,1,0,0
normal_12,normal,12,10000,12000,0,1,0
normal_13,normal,13,12000,14000,0,0,0
normal_14,normal,14,14000,16000,0,0,0
normal_15,normal,15,16000,18000,0,1,0
normal_16,normal,16,18000,20000,0,0,0
normal_17,normal,17,20000,22000,1,0,0
normal_18,normal,18,22000,24000,0,1,0
normal_19,normal,19,24000,26000,0,0,0
normal_20,normal,20,26000,28000,0,0,0
normal_21,normal,21,28000,30000,0,1,0
normal_22,normal,22,30000,33000,1,0,0
normal_23,normal,23,33000,36000,0,0,0
normal_24,normal,24,36000,40000,0,1,0
normal_25,normal,25,40000,44000,0,0,0
normal_26,normal,26,44000,48000,1,0,0
normal_27,normal,27,48000,52000,0,1,0
normal_28,normal,28,52000,56000,0,0,0
normal_29,normal,29,56000,60000,1,0,0
normal_30,normal,30,60000,65000,0,1,0
normal_31,normal,31,65000,70000,0,0,0
normal_32,normal,32,70000,75000,0,0,0
normal_33,normal,33,75000,80000,0,1,0
normal_34,normal,34,80000,85000,1,0,0
normal_35,normal,35,85000,90000,0,0,0
normal_36,normal,36,90000,100000,0,1,0
normal_37,normal,37,100000,110000,0,0,0
normal_38,normal,38,110000,120000,1,0,0
normal_39,normal,39,120000,140000,0,1,0
normal_40,normal,40,140000,2000001,1,0,0
